Group,Feature,Loading,Abs_Loading
home_Goalkeeper,Home_Goalkeeper_Avg_Value,0.05373437354591297,0.05373437354591297
home_Goalkeeper,HomeGoalkeeper_overall_Avg,0.1362566645941412,0.1362566645941412
home_Goalkeeper,HomeGoalkeeper_goalkeeping_diving_Avg,0.44390718668759915,0.44390718668759915
home_Goalkeeper,HomeGoalkeeper_goalkeeping_handling_Avg,0.4441879787449724,0.4441879787449724
home_Goalkeeper,HomeGoalkeeper_goalkeeping_kicking_Avg,0.4308764999292669,0.4308764999292669
home_Goalkeeper,HomeGoalkeeper_goalkeeping_positioning_Avg,0.44489644155523167,0.44489644155523167
home_Goalkeeper,HomeGoalkeeper_goalkeeping_reflexes_Avg,0.44392458660400874,0.44392458660400874
home_Goalkeeper,HomeGoalkeeper_goalkeeping_speed_Avg,0.05944532872751751,0.05944532872751751
away_Goalkeeper,Away_Goalkeeper_Avg_Value,0.04734294217895642,0.04734294217895642
away_Goalkeeper,AwayGoalkeeper_overall_Avg,0.13178410893572812,0.13178410893572812
away_Goalkeeper,AwayGoalkeeper_goalkeeping_diving_Avg,0.44351699111507353,0.44351699111507353
away_Goalkeeper,AwayGoalkeeper_goalkeeping_handling_Avg,0.4439452755242817,0.4439452755242817
away_Goalkeeper,AwayGoalkeeper_goalkeeping_kicking_Avg,0.4308624618106201,0.4308624618106201
away_Goalkeeper,AwayGoalkeeper_goalkeeping_positioning_Avg,0.44438925358321457,0.44438925358321457
away_Goalkeeper,AwayGoalkeeper_goalkeeping_reflexes_Avg,0.44371093606536655,0.44371093606536655
away_Goalkeeper,AwayGoalkeeper_goalkeeping_speed_Avg,0.0811985277452759,0.0811985277452759
home_Defenders,Home_Defender_Avg_Value,0.22402403893312062,0.22402403893312062
home_Defenders,HomeDefender_overall_Avg,0.4304199656888976,0.4304199656888976
home_Defenders,HomeDefender_pace_Avg,0.3243442767589864,0.3243442767589864
home_Defenders,HomeDefender_shooting_Avg,0.38135115523403396,0.38135115523403396
home_Defenders,HomeDefender_passing_Avg,0.45099134447946093,0.45099134447946093
home_Defenders,HomeDefender_dribbling_Avg,0.4450853079373176,0.4450853079373176
home_Defenders,HomeDefender_defending_Avg,0.21871360315243016,0.21871360315243016
home_Defenders,HomeDefender_physic_Avg,0.25415390083736655,0.25415390083736655
away_Defenders,Away_Defender_Avg_Value,0.2385118887738397,0.2385118887738397
away_Defenders,AwayDefender_overall_Avg,0.4308542888206235,0.4308542888206235
away_Defenders,AwayDefender_pace_Avg,0.3173903164490406,0.3173903164490406
away_Defenders,AwayDefender_shooting_Avg,0.3779968978908605,0.3779968978908605
away_Defenders,AwayDefender_passing_Avg,0.4474811890661636,0.4474811890661636
away_Defenders,AwayDefender_dribbling_Avg,0.4420192619128702,0.4420192619128702
away_Defenders,AwayDefender_defending_Avg,0.22748482109068618,0.22748482109068618
away_Defenders,AwayDefender_physic_Avg,0.2578538474231987,0.2578538474231987
home_Midfielders,Home_Midfielder_Avg_Value,0.22285215858583127,0.22285215858583127
home_Midfielders,HomeMidfielder_overall_Avg,0.48306926330549005,0.48306926330549005
home_Midfielders,HomeMidfielder_pace_Avg,0.11622195201443095,0.11622195201443095
home_Midfielders,HomeMidfielder_shooting_Avg,0.4096298197588634,0.4096298197588634
home_Midfielders,HomeMidfielder_passing_Avg,0.47412579366541235,0.47412579366541235
home_Midfielders,HomeMidfielder_dribbling_Avg,0.45820086396187054,0.45820086396187054
home_Midfielders,HomeMidfielder_defending_Avg,0.23046142627307564,0.23046142627307564
home_Midfielders,HomeMidfielder_physic_Avg,0.21868036478687825,0.21868036478687825
away_Midfielders,Away_Midfielder_Avg_Value,0.23088916941872403,0.23088916941872403
away_Midfielders,AwayMidfielder_overall_Avg,0.4814503014610596,0.4814503014610596
away_Midfielders,AwayMidfielder_pace_Avg,0.11958980309042389,0.11958980309042389
away_Midfielders,AwayMidfielder_shooting_Avg,0.40602556939554213,0.40602556939554213
away_Midfielders,AwayMidfielder_passing_Avg,0.47021296490845144,0.47021296490845144
away_Midfielders,AwayMidfielder_dribbling_Avg,0.4560041885580198,0.4560041885580198
away_Midfielders,AwayMidfielder_defending_Avg,0.2353380869441247,0.2353380869441247
away_Midfielders,AwayMidfielder_physic_Avg,0.22652427495752175,0.22652427495752175
home_Attackers,Home_Attacker_Avg_Value,0.2563614173866013,0.2563614173866013
home_Attackers,HomeAttacker_overall_Avg,0.4824651077772196,0.4824651077772196
home_Attackers,HomeAttacker_pace_Avg,0.2747295265863806,0.2747295265863806
home_Attackers,HomeAttacker_shooting_Avg,0.4142885840506809,0.4142885840506809
home_Attackers,HomeAttacker_passing_Avg,0.441915970449668,0.441915970449668
home_Attackers,HomeAttacker_dribbling_Avg,0.47599501492506086,0.47599501492506086
home_Attackers,HomeAttacker_defending_Avg,0.10983710837149935,0.10983710837149935
home_Attackers,HomeAttacker_physic_Avg,0.143072465039786,0.143072465039786
away_Attackers,Away_Attacker_Avg_Value,0.25251502947805676,0.25251502947805676
away_Attackers,AwayAttacker_overall_Avg,0.4833247914785208,0.4833247914785208
away_Attackers,AwayAttacker_pace_Avg,0.26876213350021816,0.26876213350021816
away_Attackers,AwayAttacker_shooting_Avg,0.41512189202609817,0.41512189202609817
away_Attackers,AwayAttacker_passing_Avg,0.4453699431377238,0.4453699431377238
away_Attackers,AwayAttacker_dribbling_Avg,0.4753196177950813,0.4753196177950813
away_Attackers,AwayAttacker_defending_Avg,0.11113064363214807,0.11113064363214807
away_Attackers,AwayAttacker_physic_Avg,0.1464270839754985,0.1464270839754985
