,PC1,PC2,PC3,PC4
Home_possession,0.1341215319949239,-0.2747642597830645,0.08131173972676417,-0.005450923450293521
Away_possession,0.2554681022098563,0.14756624100558846,0.10105034450158369,0.04185803576358025
Home_passing_accuracy,0.01960883171512401,-0.047772831059072166,-0.017142927078655945,0.004722375800466718
Away_passing_accuracy,0.24637601675014975,0.14579185948765455,0.05135847956067974,-0.06319067368792916
Home_shots_on_target,0.13018234858211708,-0.2711169674095016,0.07853830691562258,0.0053235610785577064
Away_shots_on_target,0.24355070245629895,0.13658417940058748,0.0844519458203033,0.08769246983472744
Home_saves,0.02921092179393016,-0.02032298185075189,-0.11819861509336144,0.12614961131918628
Away_saves,0.03880140244386288,0.0073746366925448986,-0.1253274942818823,0.10540024307829263
Home_cards,-0.08878503563252958,0.1378140924115757,0.13783088433080076,-0.25772020881512225
Away_cards,-0.09501828349581586,-0.02263878614324611,0.20631127883015243,-0.254999226833831
Home_fouls,-0.1018628728747864,0.14282750268791478,0.2189904903757347,-0.13887324529122919
Away_fouls,-0.13681288791554722,-0.04075132222857322,0.23405801166529516,-0.11463712121565502
Home_corners,0.09127756116932344,-0.2047183857141919,0.09281191956478392,0.022021533636296716
Away_corners,0.19300632456100095,0.10442455125649,0.07212847473805693,0.09370242349738056
Home_crosses,0.01559364285789933,-0.04930824983113088,0.0782908724582907,0.039052975111431965
Away_crosses,0.08041262125004477,0.04052614325705077,0.05960194426308576,0.04952099573088351
Home_touches,0.1394563234785539,-0.2784882596152677,0.04011742992641997,0.014300259302297587
Away_touches,0.25963479135726547,0.1534732991773257,0.07451746085279,0.051955985850622416
Home_tackles,-0.059893880323363846,0.006355007060221439,0.10165697890231237,0.22678872044128592
Away_tackles,-0.08701095658075864,-0.03670796503208067,0.11614374922466209,0.21889631994279224
Home_interceptions,-0.11254898437577471,0.05470438602834271,0.2896259169274653,0.2057826707978616
Away_interceptions,-0.14130850416059987,-0.023873908312455137,0.2775953638891079,0.19676587637403867
Home_aerials_won,-0.07644805856749819,0.14523783830952108,-0.06039573903186603,0.14958663624181126
Away_aerials_won,-0.11458700436334053,-0.08649568691690392,-0.08086351846584457,0.14249476105275458
Home_clearances,-0.10132183147272492,0.16552042144807383,-0.05979812692657549,0.1917367651230802
