component,feature,loading,abs_loading
PC1,Away_possession,-0.2720358741587623,0.2720358741587623
PC1,Home_possession,0.27201278544552165,0.27201278544552165
PC1,Home_shots,0.23928649103202063,0.23928649103202063
PC1,Away_shots,-0.23732722207929852,0.23732722207929852
PC1,Away_touches,-0.22595840766057448,0.22595840766057448
PC1,Home_touches,0.2206631289643796,0.2206631289643796
PC1,Home_shots_on_target,0.20388030998169007,0.20388030998169007
PC1,Away_keeper_gk_shots_on_target_against,0.1994335262729799,0.1994335262729799
PC1,Away_shots_on_target,-0.1970787765818623,0.1970787765818623
PC1,Home_keeper_gk_shots_on_target_against,-0.19315607953607936,0.19315607953607936
PC2,Away_keeper_gk_goals_against,0.27589735235733515,0.27589735235733515
PC2,Home_assists,0.23174056561901663,0.23174056561901663
PC2,home_xg,0.2316163939645406,0.2316163939645406
PC2,Home_shots_on_target,0.23112939501154767,0.23112939501154767
PC2,Away_keeper_gk_shots_on_target_against,0.226401341403264,0.226401341403264
PC2,Home_aerials_won,-0.2263413918720053,0.2263413918720053
PC2,Away_aerials_won,-0.21954928357787742,0.21954928357787742
PC2,Away_passing_accuracy,0.21693745861455577,0.21693745861455577
PC2,Away_long_balls,-0.21241400230059887,0.21241400230059887
PC2,Home_throw_ins,-0.2072527387832854,0.2072527387832854
PC3,Home_keeper_gk_goals_against,0.3628250274036207,0.3628250274036207
PC3,Away_assists,0.2974768035012012,0.2974768035012012
PC3,Home_keeper_gk_save_pct,-0.27586650054590484,0.27586650054590484
PC3,away_xg,0.26307362552935887,0.26307362552935887
PC3,Home_saves,-0.23759046186037253,0.23759046186037253
PC3,Away_shots_on_target,0.20514542986510656,0.20514542986510656
PC3,Home_keeper_gk_shots_on_target_against,0.20347210288133016,0.20347210288133016
PC3,Away_pens_made,0.201594703103696,0.201594703103696
PC3,Away_pens_att,0.20117241216701898,0.20117241216701898
PC3,Home_crosses,0.19842826401299896,0.19842826401299896
PC4,Away_cards,0.2859741428651542,0.2859741428651542
PC4,Away_cards_yellow,0.2859450986544281,0.2859450986544281
PC4,Home_cards,0.2540542243877042,0.2540542243877042
PC4,Home_cards_yellow,0.2540110141290331,0.2540110141290331
PC4,Away_fouls,0.2473596633450097,0.2473596633450097
PC4,Home_fouls,0.24539492325292428,0.24539492325292428
PC4,Home_pens_att,0.24235929081429644,0.24235929081429644
PC4,Home_fouled,0.23976128875138145,0.23976128875138145
PC4,Away_fouled,0.23911483656348706,0.23911483656348706
PC4,Home_pens_made,0.23220419632194925,0.23220419632194925
PC5,Away_aerials_won,0.26961630218228655,0.26961630218228655
PC5,Away_passing_accuracy,-0.26159548174115393,0.26159548174115393
PC5,Home_aerials_won,0.25592486691573774,0.25592486691573774
PC5,Away_long_balls,0.23901011193261507,0.23901011193261507
PC5,Home_long_balls,0.22512589422303483,0.22512589422303483
PC5,Away_throw_ins,0.22009616537207652,0.22009616537207652
PC5,Home_throw_ins,0.2084141947332213,0.2084141947332213
PC5,Home_keeper_gk_shots_on_target_against,0.18064376517138822,0.18064376517138822
PC5,Away_shots_on_target,0.17771248609078802,0.17771248609078802
PC5,Away_keeper_gk_goals_against,0.17427670067065978,0.17427670067065978
PC6,Home_keeper_gk_saves,0.30918592804113776,0.30918592804113776
PC6,Away_keeper_gk_saves,0.3012556302081805,0.3012556302081805
PC6,Home_saves,0.27105548126321216,0.27105548126321216
PC6,Away_keeper_gk_save_pct,0.26593720105336266,0.26593720105336266
PC6,Away_saves,0.2634041783256168,0.2634041783256168
PC6,Home_keeper_gk_save_pct,0.2619259294940651,0.2619259294940651
PC6,Home_keeper_gk_shots_on_target_against,0.2124619693048774,0.2124619693048774
PC6,Away_shots_on_target,0.20605206175741164,0.20605206175741164
PC6,Away_keeper_gk_shots_on_target_against,0.20503128741759213,0.20503128741759213
PC6,Home_shots_on_target,0.19849586791540888,0.19849586791540888
PC7,Away_tackles_won,0.3187198859397644,0.3187198859397644
PC7,Home_tackles_won,0.30910302736953016,0.30910302736953016
PC7,Away_interceptions,0.2653813696031363,0.2653813696031363
PC7,Home_pens_conceded,-0.2548688739306559,0.2548688739306559
PC7,Home_interceptions,0.24616799639825482,0.24616799639825482
PC7,Away_pens_won,-0.2383302728605384,0.2383302728605384
PC7,Away_tackles,0.23519058542279003,0.23519058542279003
PC7,Home_tackles,0.2312760887092445,0.2312760887092445
PC7,Away_pens_att,-0.22480041354775437,0.22480041354775437
PC7,Away_assists,0.21838636217858115,0.21838636217858115
PC8,Away_pens_conceded,-0.3202959207110764,0.3202959207110764
PC8,Home_pens_won,-0.3076053097500856,0.3076053097500856
PC8,Home_pens_att,-0.2900893832044846,0.2900893832044846
PC8,Home_pens_made,-0.2685921032730873,0.2685921032730873
PC8,Home_pens_conceded,0.22447950574839381,0.22447950574839381
PC8,Home_tackles_won,0.2238516928963323,0.2238516928963323
PC8,Home_assists,0.21655366260574838,0.21655366260574838
PC8,Away_pens_att,0.21635236492377008,0.21635236492377008
PC8,Away_pens_won,0.21481023978942995,0.21481023978942995
PC8,Away_keeper_gk_shots_on_target_against,0.2051829120145063,0.2051829120145063
PC9,Home_keeper_gk_save_pct,0.26020153069206203,0.26020153069206203
PC9,Home_touches,0.23653083026490615,0.23653083026490615
PC9,Home_saves,0.22612225377973597,0.22612225377973597
PC9,Away_keeper_gk_saves,-0.2185292812087391,0.2185292812087391
PC9,Away_pens_won,0.2155411322259062,0.2155411322259062
PC9,Away_pens_att,0.20995227811292821,0.20995227811292821
PC9,Home_pens_conceded,0.2096699242633216,0.2096699242633216
PC9,Home_keeper_gk_saves,0.202997280497706,0.202997280497706
PC9,Away_assists,-0.2022406582183823,0.2022406582183823
