our_name,footballbert_player_id,match_type,match_score
adrien regattin,ba067590,exact,100.0
adrien silva,ba078867,exact,100.0
adrien tameze,ba051940,exact,100.0
adrien thomasson,ba073148,exact,100.0
adrien trebel,ba063366,exact,100.0
adrien truffert,ba034313,exact,100.0
adryan,ba043491,exact,100.0
adson,ba051890,exact,100.0
adu ares,ba060185,exact,100.0
afonso figueiredo,ba089983,exact,100.0
afonso moreira,,unmatched,0.0
afriyie acquah,ba078988,exact,100.0
ager aketxe,ba072591,exact,100.0
agim ibraimi,ba051829,exact,100.0
agustin alvarez,,unmatched,0.0
agustin marchesin,ba048817,exact,100.0
agustin martegani,ba032850,exact,100.0
agustin rogel,ba085961,exact,100.0
ahmad benali,ba059026,exact,100.0
ahmad ngouyamsa,ba048391,exact,100.0
ahmed el mohamady,ba035897,fuzzy,96.96969604492188
ahmed hassan,ba032058,exact,100.0
ahmed hegazy,ba031436,fuzzy,91.66666412353516
ahmed kantari,ba083785,exact,100.0
ahmed kashi,ba001292,exact,100.0
ahmed kutucu,ba069902,exact,100.0
ahmed musa,ba067065,exact,100.0
ahmed touba,ba088967,exact,100.0
aiden mcgeady,ba073305,exact,100.0
aiham ousou,ba015151,exact,100.0
aihen munoz,ba012610,exact,100.0
aiman maurer,ba049789,exact,100.0
aimar oroz,ba045598,exact,100.0
aimen moueffek,ba013711,exact,100.0
aingeru olabarrieta,ba067380,exact,100.0
ainsley maitland-niles,ba083515,exact,100.0
aissa laidouni,ba012579,exact,100.0
aissa mandi,ba092423,exact,100.0
aitor bunuel,ba037345,exact,100.0
aitor fernandez,ba058627,exact,100.0
aitor paredes,ba067774,exact,100.0
aitor ruibal,ba060541,exact,100.0
aiyegun tosin,ba057255,fuzzy,100.0
ajdin hrustic,ba011369,exact,100.0
akaki gogia,ba081877,exact,100.0
akim zedadka,ba005808,exact,100.0
akor adams,ba016350,exact,100.0
akram afif,ba092962,exact,100.0
alaa bellaarouch,ba002116,exact,100.0
aladji bamba,,unmatched,0.0
alaeddine yahia,ba046386,exact,100.0
alain traore,ba051471,exact,100.0
alaixys romao,ba003914,exact,100.0
alan empereur,ba047739,exact,100.0
alan hutton,ba038485,exact,100.0
alan matturro,ba031125,exact,100.0
alan virginius,ba000666,exact,100.0
alassane plea,ba069028,exact,100.0
alassane tambe,ba076236,exact,100.0
